PC1,PC2,species
-2.2647028088075873,0.4800265965209894,setosa
-2.080961151965766,-0.6741335566053528,setosa
-2.3642290538902992,-0.34190802388467634,setosa
-2.2993842170427063,-0.5973945076746757,setosa
-2.389842166313844,0.6468353829020269,setosa
-2.0756309481765114,1.4891775233211668,setosa
-2.444028835134151,0.04764419763001381,setosa
-2.232847158872014,0.22314807268959178,setosa
-2.3346404779076195,-1.1153276754616666,setosa
-2.1843281749339405,-0.4690135614023756,setosa
-2.1663101007013217,1.0436906530538599,setosa
-2.326130866442697,0.13307833523923138,setosa
-2.218450898822408,-0.7286761653165708,setosa
-2.633100695765226,-0.9615067291701634,setosa
-2.1987406032666894,1.8600571132939319,setosa
-2.262214531601021,2.6862844851105927,setosa
-2.2075876958245915,1.4836093631555727,setosa
-2.1903495091922975,0.4888383164863277,setosa
-1.8985719958028415,1.4050187944665498,setosa
-2.343369053074992,1.127849381908476,setosa
-1.914322996082567,0.4088557077559066,setosa
-2.2070128431947977,0.9241214267468982,setosa
-2.7743447029273307,0.4583436677529151,setosa
-1.8186695286958483,0.08555852628736604,setosa
-2.2271633057066373,0.13725445536342692,setosa
-1.9518463309003744,-0.6256185877766764,setosa
-2.0511513727294144,0.24216355266166698,setosa
-2.168577174654215,0.5271495253082675,setosa
-2.1395634513013304,0.3132178101399521,setosa
-2.2652614931542394,-0.33773190376048073,setosa
-2.140122135647983,-0.5045406901415185,setosa
-1.8315947706760274,0.4236950676037862,setosa
-2.614947935858934,1.7935758561044284,setosa
-2.4461773916965144,2.1507278773929244,setosa
-2.109974875318651,-0.46020184143703724,setosa
-2.2078088990782643,-0.20610739768843675,setosa
-2.0451462067542003,0.6615581114631086,setosa
-2.527331913170485,0.5922927741908093,setosa
-2.4296325750845447,-0.9041800403761483,setosa
-2.1697107116306626,0.26887896143547096,setosa
-2.286475143345669,0.44171538769905005,setosa
-1.8581224563735694,-2.337415157553348,setosa
-2.5536383956143545,-0.4791006901223145,setosa
-1.96444768376374,0.47232666771926063,setosa
-2.137059005811622,1.1422292620394086,setosa
-2.0697442995918283,-0.711052725385894,setosa
-2.3847331657782616,1.1204297019845364,setosa
-2.3943763142196315,-0.3862468725891574,setosa
-2.2294465479426737,0.9979597643079803,setosa
-2.203833435519129,0.009216357521276286,setosa
1.1017811830529474,0.8629724182621598,versicolor
0.7313374253960873,0.5946147256694249,versicolor
1.240979319515831,0.616297654437499,versicolor
0.40748305881738606,-1.7544039893234102,versicolor
1.0754747006090783,-0.20842104605096504,versicolor
0.3886873365356654,-0.5932836359900753,versicolor
0.7465297413291605,0.7730193120985964,versicolor
-0.48732274212563836,-1.8524290868575746,versicolor
